Date	Year	DayOfYear	DayOfRun	TotalSolarRadiation	AveWindSpeed	AveWindDirection	MaxWindGust	AveAirTemp	MaxAirTemp	MinAirTemp	AveRelHumidity	MaxRelHumidity	MinRelHumidity	TotalPrecipitation
01/01/2020	2020	1	1	1.933	1.7	318	6.21	7.4	13.2	3	91	98	75	0
01/02/2020	2020	2	2	2.75	1.96	258	5.06	8.4	18.2	1.3	82	100	41	0
01/03/2020	2020	3	3	2.428	2.23	55	5.03	6.8	14.2	2.4	91	99	68	0
01/04/2020	2020	4	4	2.361	2.82	221	7.55	8.3	14.3	2.2	91	100	67	0.25
01/05/2020	2020	5	5	2.978	3.12	230	6.89	8.4	16.5	2.4	79	100	38	0.25
01/06/2020	2020	6	6	2.971	1.77	68	4.67	6.1	13.4	-0.1	80	98	48	0
01/07/2020	2020	7	7	1.983	2.76	90	12.02	4.5	9.8	-0.8	94	100	78	0
01/08/2020	2020	8	8	1.378	2.49	233	7.45	7.2	12.6	3.4	93	100	73	0
01/09/2020	2020	9	9	0.933	3.74	175	9.18	7.7	10.8	2.6	90	98	76	6.1
01/10/2020	2020	10	10	2.957	2.57	160	8.3	6.2	12	0	82	99	58	0.25
01/11/2020	2020	11	11	2.416	3.33	203	10.71	9.1	14.8	3	78	96	44	0
01/12/2020	2020	12	12	1.861	4.05	199	8.85	7	11.9	1.5	82	98	60	0
01/13/2020	2020	13	13	2.595	5.07	193	11.2	8.9	13.2	3.5	80	94	58	0
01/14/2020	2020	14	14	3.101	5.42	210	11.6	8.4	13.1	3.4	77	95	50	1.27
01/15/2020	2020	15	15	2.164	2.33	154	6.66	4.9	10.5	-0.5	85	100	57	0
01/16/2020	2020	16	16	0.733	5.14	145	14.37	6.6	9.5	2	83	97	64	16.26
01/17/2020	2020	17	17	1.408	2.15	63	5.95	4	7.9	0.3	97	100	86	0.25
01/18/2020	2020	18	18	2.949	2.96	35	9.02	5.6	11.2	0.1	84	100	60	0
01/19/2020	2020	19	19	1.033	2.61	80	5.68	4.7	7.1	1.5	95	100	78	0
01/20/2020	2020	20	20	0.963	1.67	150	5.95	6.1	9.7	3.3	94	100	78	0
01/21/2020	2020	21	21	1.198	2.95	143	6.86	9.5	14.1	2.6	91	100	69	1.27
01/22/2020	2020	22	22	3.045	1.77	348	4.87	10.6	15.3	5.6	86	100	50	0
01/23/2020	2020	23	23	1.529	1.33	54	5.13	8.5	13.2	3.1	93	100	78	0
01/24/2020	2020	24	24	2.947	2.72	261	8.49	11.3	17.7	4.2	88	100	64	0
01/25/2020	2020	25	25	2.501	1.94	129	5.26	11.5	14.6	6.2	92	100	78	0
01/26/2020	2020	26	26	3.368	5.34	203	12.12	13	17.9	8.8	83	99	53	3.81
01/27/2020	2020	27	27	3.277	5.99	208	10.19	11.8	17	8.9	79	92	62	0
01/28/2020	2020	28	28	1.926	4.01	192	9.08	11.1	16.3	7.4	87	96	64	0
01/29/2020	2020	29	29	3.305	3.14	238	10.45	10.6	19	4.4	80	99	42	0
01/30/2020	2020	30	30	2.615	3.19	165	6.57	10.1	18	6	86	98	55	0
01/31/2020	2020	31	31	3.21	1.41	26	4.7	9.8	17.9	4.4	90	100	61	0
02/01/2020	2020	32	32	2.916	1.29	135	3.95	8.6	18.1	1.6	93	100	62	0.25
02/02/2020	2020	33	33	3.439	5.02	243	14.99	9.5	15.3	1.3	65	100	22	0.25
02/03/2020	2020	34	34	4.024	6.98	304	16.3	5.9	11.7	-0.8	49	88	22	0
02/04/2020	2020	35	35	3.851	6.91	316	14.63	7	12.6	1.5	44	79	27	0
02/05/2020	2020	36	36	3.701	1.5	344	5.55	7.3	16.1	0.1	64	97	38	0
02/06/2020	2020	37	37	3.919	1.26	26	4.93	7.1	16.8	0.3	76	97	45	0
