SampleID	Template	Redo	Batch
JA001	JTM001	NA	B1
JA002	JTM002	NA	B1
JA003	JTM003	NA	B1
JA004	JTM004	NA	B1
JA005	JTM005	NA	B1
JA006	JTM006	NA	B1
JA007	JTM007	NA	B1
JA008	JTM008	NA	B1
JA009	JTM009	NA	B1
JA010	JTM010	NA	B1
JA011	JTM011	NA	B1
JA012	JTM012	NA	B1
JA013	JTM013	NA	B1
JA014	JTM014	NA	B1
JA015	JTM015	NA	B1
JA016	JTM016	NA	B1
JA017	JTM017	NA	B1
JA018	JTM018	NA	B1
JA019	JTM019	NA	B1
JA020	JTM020	NA	B1
JA021	JTM021	NA	B1
JA022	JTM022	NA	B1
JA023	JTM023	NA	B1
JA024	JTM024	NA	B1
JA025	JTM025	NA	B1
JA026	JTM026	NA	B1
JA027	JTM027	NA	B1
JA028	JTM028	NA	B1
JA029	JTM029	NA	B1
JA030	JTM030	NA	B1
JA031	JTM031	NA	B1
JA032	JTM032	NA	B1
JA033	JTM033	NA	B1
JA034	JTM034	NA	B1
JA035	JTM035	NA	B1
JA036	JTM036	NA	B1
JA037	JTM037	NA	B1
JA038	JTM038	NA	B1
JA039	JTM039	NA	B1
JA040	JTM040	NA	B1
JA041	JTM041	NA	B1
JA042	JTM042	NA	B1
JA043	JTM043	NA	B1
JA044	JTM044	NA	B1
JA045	JTM045	NA	B1
JA046	JTM046	NA	B1
JA047	JTM047	NA	B1
JA048	JTM048	NA	B1
JA049	JTM049	NA	B1
JA050	JTM050	NA	B1
JA051	JTM051	NA	B1
JA052	JTM052	NA	B1
JA053	JTM053	NA	B1
JA054	JTM054	NA	B1
JA055	JTM055	NA	B1
JA056	JTM056	NA	B1
JA057	JTM057	NA	B1
JA058	JTM058	NA	B1
JA059	JTM059	NA	B1
JA060	JTM060	NA	B1
JA061	JTM061	Redo1	B1
JA062	JTM062	NA	B1
JA063	JTM063	NA	B1
JA064	JTM064	NA	B1
JA065	JTM065	NA	B1
JA066	JTM066	NA	B1
JA067	JTM067	NA	B1
JA068	JTM068	NA	B1
JA069	JTM069	NA	B1
JA070	JTM070	NA	B1
JA071	JTM071	NA	B1
JA072	JTM072	NA	B1
JA073	JTM073	NA	B1
JA074	JTM074	NA	B1
JA075	JTM075	NA	B1
JA076	JTM076	NA	B1
JA077	JTM077	NA	B1
JA078	JTM078	NA	B1
JA079	JTM079	NA	B1
JA080	JTM080	NA	B1
JA081	JTM081	NA	B1
JA082	JTM082	NA	B1
JA083	JTM083	NA	B1
JA084	JTM084	NA	B1
JA085	JTM085	NA	B1
JA086	JTM086	NA	B1
JA087	JTM087	NA	B1
JA088	JTM088	NA	B1
JA089	JTM089	NA	B1
JA090	JTM090	NA	B1
JA091	JTM091	NA	B1
JA092	JTM092	NA	B1
JA093	JTM093	NA	B1
JA094	JTM094	NA	B1
JA095	JTM095	NA	B1
JA096	JTM096	NA	B1
JA097	JTM097	NA	B1
JA098	JTM098	NA	B1
JA099	JTM099	NA	B1
JA100	JTM100	NA	B1
JA101	JTM101	NA	B1
JA102	JTM102	NA	B1
JA103	JTM103	NA	B1
JA104	JTM104	NA	B1
JA105	JTM105	NA	B1
JA106	JTM106	NA	B1
JA107	JTM107	NA	B1
JA108	JTM108	NA	B1
JA109	JTM109	NA	B1
JA110	JTM110	NA	B1
JA111	JTM111	NA	B1
JA112	JTM112	NA	B1
JA113	JTM113	NA	B1
JA114	JTM114	NA	B1
JA115	JTM115	NA	B1
JA116	JTM116	NA	B1
JA117	JTM117	NA	B1
JA118	JTM118	NA	B1
JA119	JTM119	NA	B1
JA120	JTM120	NA	B1
JA121	JTM121	NA	B1
JA122	JTM122	NA	B1
JA123	JTM123	NA	B1
JA124	JTM124	NA	B1
JA125	JTM125	NA	B1
JA126	JTM126	NA	B1
JA127	JTM127	NA	B1
JA128	JTM128	NA	B1
JA129	JTM129	NA	B1
JA130	JTM130	NA	B1
JA131	JTM131	NA	B1
JA132	JTM132	NA	B1
JA133	JTM133	NA	B1
JA134	JTM134	NA	B1
JA135	JTM135	NA	B1
JA136	JTM136	NA	B1
JA137	JTM137	NA	B1
JA138	JTM138	NA	B1
JA139	JTM139	NA	B1
JA140	JTM140	NA	B1
JA141	JTM141	NA	B1
JA142	JTM142	NA	B1
JA143	JTM143	NA	B1
JA144	JTM144	NA	B1
JA145	JTM145	NA	B1
JA146	JTM146	NA	B1
JA147	JTM147	NA	B1
JA148	JTM148	NA	B1
JA149	JTM149	NA	B1
JA150	JTM150	NA	B1
JA151	JTM151	NA	B1
JA152	JTM152	NA	B1
JA153	JTM153	NA	B1
JA154	JTM154	NA	B1
JA155	JTM155	NA	B1
JA156	JTM156	NA	B1
JA157	JTM157	NA	B1
JA158	JTM158	NA	B1
JA159	JTM159	NA	B1
JA160	JTM160	NA	B1
JA161	JTM161	NA	B1
JA162	JTM162	NA	B1
JA163	JTM163	NA	B1
JA164	JTM164	NA	B1
JA165	JTM165	NA	B1
JA166	JTM166	NA	B1
JA167	JTM167	NA	B1
JA168	JTM168	NA	B1
JA169	JTM169	NA	B2
JA170	JTM170	NA	B2
JA171	JTM171	NA	B2
JA172	JTM172	NA	B2
JA173	JTM173	NA	B2
JA174	JTM174	NA	B2
JA175	JTM175	NA	B2
JA176	JTM176	NA	B2
JA177	JTM177	NA	B2
JA178	JTM178	NA	B2
JA179	JTM179	NA	B2
JA180	JTM180	NA	B2
JA181	JTM181	NA	B2
JA182	JTM182	NA	B2
JA183	JTM183	NA	B2
JA184	JTM184	NA	B2
JA185	JTM185	NA	B2
JA186	JTM186	NA	B2
JA187	JTM187	NA	B2
JA188	JTM188	NA	B2
