Position	Illumina_Universal_Adapter	Illumina_Small_RNA_3_Adapter	Illumina_Small_RNA_5_Adapter	Nextera_Transposase_Sequence	SOLID_Small_RNA_Adapter	Library
1	3.799141515590005E-6	0.0	2.2794849093540032E-5	0.0	3.799141515590005E-5	FJVN100_R1_rmphix_fastqc
2	7.59828303118001E-6	1.1397424546770016E-5	3.799141515590005E-5	3.799141515590005E-6	5.6987122733850076E-5	FJVN100_R1_rmphix_fastqc
3	1.1397424546770016E-5	1.8995707577950025E-5	7.59828303118001E-5	3.799141515590005E-6	1.0637596243652014E-4	FJVN100_R1_rmphix_fastqc
4	1.519656606236002E-5	3.039313212472004E-5	9.497853788975013E-5	1.1397424546770016E-5	1.481665191080102E-4	FJVN100_R1_rmphix_fastqc
5	1.8995707577950025E-5	3.4192273640310044E-5	1.1017510395211015E-4	1.1397424546770016E-5	1.9375621729509027E-4	FJVN100_R1_rmphix_fastqc
6	1.8995707577950025E-5	3.4192273640310044E-5	1.2157252849888016E-4	1.519656606236002E-5	2.279484909354003E-4	FJVN100_R1_rmphix_fastqc
7	2.2794849093540032E-5	3.4192273640310044E-5	1.481665191080102E-4	1.519656606236002E-5	2.659399060913004E-4	FJVN100_R1_rmphix_fastqc
8	2.6593990609130035E-5	3.799141515590005E-5	1.5576480213919022E-4	1.519656606236002E-5	3.1152960427838043E-4	FJVN100_R1_rmphix_fastqc
9	3.039313212472004E-5	4.179055667149006E-5	1.7855965123273024E-4	1.519656606236002E-5	3.609184439810505E-4	FJVN100_R1_rmphix_fastqc
10-14	3.951107176213605E-5	5.3187981218260076E-5	2.1731089469174833E-4	1.519656606236002E-5	4.7033371963004265E-4	FJVN100_R1_rmphix_fastqc
15-19	6.306574915879408E-5	7.44631737055641E-5	3.001321797316104E-4	1.519656606236002E-5	6.640899369251328E-4	FJVN100_R1_rmphix_fastqc
20-24	8.130162843362611E-5	9.497853788975013E-5	3.989098591369505E-4	1.519656606236002E-5	8.859598014355891E-4	FJVN100_R1_rmphix_fastqc
25-29	1.306904681362962E-4	1.1701355868017215E-4	4.8629011399552066E-4	1.519656606236002E-5	0.0010789561904275616	FJVN100_R1_rmphix_fastqc
30-34	2.6821939100065437E-4	1.428477209861842E-4	5.607532877010847E-4	2.1275192487304032E-5	0.001278031205844478	FJVN100_R1_rmphix_fastqc
35-39	4.938883970267006E-4	1.7400068141402224E-4	6.534523406814809E-4	2.2794849093540032E-5	0.001467988281623978	FJVN100_R1_rmphix_fastqc
40-44	8.882392863449431E-4	1.9375621729509027E-4	7.187975747496289E-4	2.5834162306012035E-5	0.0016868188329219624	FJVN100_R1_rmphix_fastqc
45-49	0.001473307079745804	2.1047243996368626E-4	7.90221435242721E-4	2.659399060913003E-5	0.0018684177973671647	FJVN100_R1_rmphix_fastqc
