Measure	Value	Library
Filename	FJVN100_R1_rmphix.fq.gz	FJVN100_R1_rmphix_fastqc
File type	Conventional base calls	FJVN100_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN100_R1_rmphix_fastqc
Total Sequences	26321736	FJVN100_R1_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN100_R1_rmphix_fastqc
Sequence length	50-151	FJVN100_R1_rmphix_fastqc
%GC	64	FJVN100_R1_rmphix_fastqc
Filename	FJVN100_R2_rmphix.fq.gz	FJVN100_R2_rmphix_fastqc
File type	Conventional base calls	FJVN100_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN100_R2_rmphix_fastqc
Total Sequences	26321736	FJVN100_R2_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN100_R2_rmphix_fastqc
Sequence length	50-151	FJVN100_R2_rmphix_fastqc
%GC	64	FJVN100_R2_rmphix_fastqc
Filename	FJVN101_R1_rmphix.fq.gz	FJVN101_R1_rmphix_fastqc
File type	Conventional base calls	FJVN101_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN101_R1_rmphix_fastqc
Total Sequences	25714065	FJVN101_R1_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN101_R1_rmphix_fastqc
Sequence length	50-151	FJVN101_R1_rmphix_fastqc
%GC	64	FJVN101_R1_rmphix_fastqc
Filename	FJVN101_R2_rmphix.fq.gz	FJVN101_R2_rmphix_fastqc
File type	Conventional base calls	FJVN101_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN101_R2_rmphix_fastqc
Total Sequences	25714065	FJVN101_R2_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN101_R2_rmphix_fastqc
Sequence length	50-151	FJVN101_R2_rmphix_fastqc
%GC	64	FJVN101_R2_rmphix_fastqc
Filename	FJVN102_R1_rmphix.fq.gz	FJVN102_R1_rmphix_fastqc
File type	Conventional base calls	FJVN102_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN102_R1_rmphix_fastqc
Total Sequences	28666040	FJVN102_R1_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN102_R1_rmphix_fastqc
Sequence length	50-151	FJVN102_R1_rmphix_fastqc
%GC	64	FJVN102_R1_rmphix_fastqc
Filename	FJVN102_R2_rmphix.fq.gz	FJVN102_R2_rmphix_fastqc
File type	Conventional base calls	FJVN102_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN102_R2_rmphix_fastqc
Total Sequences	28666040	FJVN102_R2_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN102_R2_rmphix_fastqc
Sequence length	50-151	FJVN102_R2_rmphix_fastqc
%GC	64	FJVN102_R2_rmphix_fastqc
Filename	FJVN103_R1_rmphix.fq.gz	FJVN103_R1_rmphix_fastqc
File type	Conventional base calls	FJVN103_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN103_R1_rmphix_fastqc
Total Sequences	30075455	FJVN103_R1_rmphix_fastqc
Sequences flagged as poor quality	0	FJVN103_R1_rmphix_fastqc
Sequence length	50-151	FJVN103_R1_rmphix_fastqc
%GC	63	FJVN103_R1_rmphix_fastqc
Filename	FJVN103_R2_rmphix.fq.gz	FJVN103_R2_rmphix_fastqc
File type	Conventional base calls	FJVN103_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	FJVN103_R2_rmphix_fastqc
