Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	Library
1	36.64755820056853	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
2	36.698763333846976	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
3	36.76174823727432	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
4	36.80368703644775	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
5	36.815480407523275	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
6	36.823923011764876	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
7	36.825537646909005	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
8	36.82296722374239	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
9	36.82824453523886	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
10-14	36.82438947036016	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
15-19	36.816064092429166	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
20-24	36.80482872406289	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
25-29	36.79320031171196	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
30-34	36.775343358811895	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
35-39	36.76177349396711	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
40-44	36.75294793626074	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
45-49	36.73478653535618	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
50-54	36.713775125286006	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
55-59	36.717270090470535	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
60-64	36.70638641980482	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
65-69	36.69609996340444	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
70-74	36.685552250929234	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
75-79	36.69067602014686	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
80-84	36.687307183301556	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
85-89	36.68214751119572	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
90-94	36.67881639064258	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
95-99	36.66385400226454	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
100-104	36.646086963465386	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
105-109	36.63849804578799	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
110-114	36.64102631098763	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
115-119	36.63591239582321	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
120-124	36.61762885134154	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
125-129	36.613812328302394	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
130-134	36.60980372534104	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
135-139	36.603760815272764	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
140-144	36.57661083060711	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
145-149	36.54433756907584	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
150-151	36.779080384785736	37.0	37.0	37.0	37.0	37.0	FJVN100_R1_rmphix_fastqc
1	36.657513395013154	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
2	36.76622537358478	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
3	36.76982657982741	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
4	36.78478797902996	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
5	36.79751533105567	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
6	36.79394201051177	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
7	36.78553792956513	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
8	36.77871626704257	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
9	36.78579839870744	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
10-14	36.77292590427926	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
15-19	36.775803677994496	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
20-24	36.767859186795285	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
25-29	36.75057455176968	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
30-34	36.73556119550777	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
35-39	36.72055416101734	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
40-44	36.71138318536437	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
45-49	36.69274727168451	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
50-54	36.66880852178083	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
55-59	36.666952642751276	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
60-64	36.670994239911536	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
65-69	36.65628382623129	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
70-74	36.64659044633131	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
75-79	36.64370067769143	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
80-84	36.64280537114607	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
85-89	36.65335908979099	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
90-94	36.64643836194	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
95-99	36.642799752046905	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
100-104	36.63207672294139	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
105-109	36.62673017339254	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
110-114	36.618062711447465	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
115-119	36.609533902059965	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
120-124	36.6030600033321	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
125-129	36.57918572803874	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
130-134	36.57612583638847	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
135-139	36.55269556167026	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
140-144	36.543919220396134	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
145-149	36.53219303334681	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
150-151	36.77541662397258	37.0	37.0	37.0	37.0	37.0	FJVN100_R2_rmphix_fastqc
1	36.63249505669368	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
2	36.68857518249254	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
3	36.75410235604522	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
4	36.79815318970377	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
5	36.8106818194634	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
6	36.819509517456694	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
7	36.8200619777542	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
8	36.81607069905128	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
9	36.82457234980156	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
10-14	36.82022708583805	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
15-19	36.81168477251652	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
20-24	36.800039317004135	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
25-29	36.78774601370884	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
30-34	36.77007650871225	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
35-39	36.75581667075976	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
40-44	36.747217439171905	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
45-49	36.72760893308779	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
50-54	36.70662004726595	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
55-59	36.71026412561518	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
60-64	36.6999059770665	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
65-69	36.69017958900865	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
70-74	36.679481992841524	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
75-79	36.68427306503252	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
80-84	36.68065686354257	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
85-89	36.67658680315674	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
90-94	36.672542021188896	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
95-99	36.65765872335542	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
100-104	36.63922137949968	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
105-109	36.63245725745291	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
110-114	36.6346198465521	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
115-119	36.629419241972926	37.0	37.0	37.0	37.0	37.0	FJVN101_R1_rmphix_fastqc
