GC_Content	Count	Library
0	125.0	FJVN100_R1_rmphix_fastqc
1	115.5	FJVN100_R1_rmphix_fastqc
2	110.0	FJVN100_R1_rmphix_fastqc
3	123.5	FJVN100_R1_rmphix_fastqc
4	150.0	FJVN100_R1_rmphix_fastqc
5	191.5	FJVN100_R1_rmphix_fastqc
6	232.0	FJVN100_R1_rmphix_fastqc
7	283.5	FJVN100_R1_rmphix_fastqc
8	367.5	FJVN100_R1_rmphix_fastqc
9	488.0	FJVN100_R1_rmphix_fastqc
10	594.0	FJVN100_R1_rmphix_fastqc
11	725.0	FJVN100_R1_rmphix_fastqc
12	860.0	FJVN100_R1_rmphix_fastqc
13	1068.5	FJVN100_R1_rmphix_fastqc
14	1356.0	FJVN100_R1_rmphix_fastqc
15	1653.0	FJVN100_R1_rmphix_fastqc
16	2036.0	FJVN100_R1_rmphix_fastqc
17	2535.5	FJVN100_R1_rmphix_fastqc
18	3091.5	FJVN100_R1_rmphix_fastqc
19	3802.0	FJVN100_R1_rmphix_fastqc
20	4804.0	FJVN100_R1_rmphix_fastqc
21	5899.0	FJVN100_R1_rmphix_fastqc
22	7218.5	FJVN100_R1_rmphix_fastqc
23	8881.5	FJVN100_R1_rmphix_fastqc
24	10769.0	FJVN100_R1_rmphix_fastqc
25	12952.5	FJVN100_R1_rmphix_fastqc
26	15434.0	FJVN100_R1_rmphix_fastqc
27	18222.0	FJVN100_R1_rmphix_fastqc
28	21603.5	FJVN100_R1_rmphix_fastqc
29	25377.5	FJVN100_R1_rmphix_fastqc
30	29113.0	FJVN100_R1_rmphix_fastqc
31	33600.5	FJVN100_R1_rmphix_fastqc
32	38306.0	FJVN100_R1_rmphix_fastqc
33	42623.5	FJVN100_R1_rmphix_fastqc
34	47666.0	FJVN100_R1_rmphix_fastqc
35	53409.0	FJVN100_R1_rmphix_fastqc
36	59373.0	FJVN100_R1_rmphix_fastqc
37	65686.5	FJVN100_R1_rmphix_fastqc
38	72500.0	FJVN100_R1_rmphix_fastqc
39	79914.0	FJVN100_R1_rmphix_fastqc
40	87960.0	FJVN100_R1_rmphix_fastqc
41	96778.5	FJVN100_R1_rmphix_fastqc
42	106068.0	FJVN100_R1_rmphix_fastqc
43	116035.0	FJVN100_R1_rmphix_fastqc
44	128018.5	FJVN100_R1_rmphix_fastqc
45	141747.0	FJVN100_R1_rmphix_fastqc
46	157640.0	FJVN100_R1_rmphix_fastqc
47	175483.5	FJVN100_R1_rmphix_fastqc
48	194486.5	FJVN100_R1_rmphix_fastqc
49	217499.5	FJVN100_R1_rmphix_fastqc
50	244051.0	FJVN100_R1_rmphix_fastqc
51	272921.5	FJVN100_R1_rmphix_fastqc
52	306786.0	FJVN100_R1_rmphix_fastqc
53	346580.0	FJVN100_R1_rmphix_fastqc
54	391685.0	FJVN100_R1_rmphix_fastqc
55	442054.5	FJVN100_R1_rmphix_fastqc
56	498465.5	FJVN100_R1_rmphix_fastqc
57	560991.0	FJVN100_R1_rmphix_fastqc
58	631462.0	FJVN100_R1_rmphix_fastqc
59	709233.5	FJVN100_R1_rmphix_fastqc
60	792128.0	FJVN100_R1_rmphix_fastqc
61	880532.5	FJVN100_R1_rmphix_fastqc
62	973285.5	FJVN100_R1_rmphix_fastqc
63	1068450.0	FJVN100_R1_rmphix_fastqc
64	1161397.5	FJVN100_R1_rmphix_fastqc
65	1245420.5	FJVN100_R1_rmphix_fastqc
66	1316695.0	FJVN100_R1_rmphix_fastqc
67	1371711.0	FJVN100_R1_rmphix_fastqc
68	1401902.0	FJVN100_R1_rmphix_fastqc
69	1399781.5	FJVN100_R1_rmphix_fastqc
70	1363503.5	FJVN100_R1_rmphix_fastqc
71	1297385.5	FJVN100_R1_rmphix_fastqc
72	1200304.0	FJVN100_R1_rmphix_fastqc
73	1076473.5	FJVN100_R1_rmphix_fastqc
74	938085.0	FJVN100_R1_rmphix_fastqc
75	790392.0	FJVN100_R1_rmphix_fastqc
76	645233.0	FJVN100_R1_rmphix_fastqc
77	509558.0	FJVN100_R1_rmphix_fastqc
78	387665.5	FJVN100_R1_rmphix_fastqc
79	285876.0	FJVN100_R1_rmphix_fastqc
80	203636.0	FJVN100_R1_rmphix_fastqc
81	140076.0	FJVN100_R1_rmphix_fastqc
82	93503.0	FJVN100_R1_rmphix_fastqc
83	60637.0	FJVN100_R1_rmphix_fastqc
84	37987.0	FJVN100_R1_rmphix_fastqc
85	23163.0	FJVN100_R1_rmphix_fastqc
86	13871.5	FJVN100_R1_rmphix_fastqc
87	8250.0	FJVN100_R1_rmphix_fastqc
88	4823.5	FJVN100_R1_rmphix_fastqc
89	2641.5	FJVN100_R1_rmphix_fastqc
90	1491.5	FJVN100_R1_rmphix_fastqc
91	850.5	FJVN100_R1_rmphix_fastqc
92	463.0	FJVN100_R1_rmphix_fastqc
93	264.5	FJVN100_R1_rmphix_fastqc
94	150.0	FJVN100_R1_rmphix_fastqc
95	91.5	FJVN100_R1_rmphix_fastqc
96	59.5	FJVN100_R1_rmphix_fastqc
97	40.0	FJVN100_R1_rmphix_fastqc
98	30.5	FJVN100_R1_rmphix_fastqc
99	20.0	FJVN100_R1_rmphix_fastqc
100	14.5	FJVN100_R1_rmphix_fastqc
0	118.0	FJVN100_R2_rmphix_fastqc
1	107.0	FJVN100_R2_rmphix_fastqc
2	96.0	FJVN100_R2_rmphix_fastqc
3	104.0	FJVN100_R2_rmphix_fastqc
4	142.5	FJVN100_R2_rmphix_fastqc
5	194.5	FJVN100_R2_rmphix_fastqc
6	242.0	FJVN100_R2_rmphix_fastqc
7	301.0	FJVN100_R2_rmphix_fastqc
8	362.0	FJVN100_R2_rmphix_fastqc
9	450.5	FJVN100_R2_rmphix_fastqc
10	599.5	FJVN100_R2_rmphix_fastqc
11	765.0	FJVN100_R2_rmphix_fastqc
12	900.5	FJVN100_R2_rmphix_fastqc
13	1109.5	FJVN100_R2_rmphix_fastqc
14	1395.0	FJVN100_R2_rmphix_fastqc
15	1690.5	FJVN100_R2_rmphix_fastqc
16	2063.0	FJVN100_R2_rmphix_fastqc
17	2548.5	FJVN100_R2_rmphix_fastqc
18	3164.5	FJVN100_R2_rmphix_fastqc
19	3949.5	FJVN100_R2_rmphix_fastqc
20	4943.5	FJVN100_R2_rmphix_fastqc
21	6123.5	FJVN100_R2_rmphix_fastqc
22	7545.5	FJVN100_R2_rmphix_fastqc
23	9244.5	FJVN100_R2_rmphix_fastqc
24	11075.5	FJVN100_R2_rmphix_fastqc
25	13181.0	FJVN100_R2_rmphix_fastqc
26	15889.0	FJVN100_R2_rmphix_fastqc
27	19043.5	FJVN100_R2_rmphix_fastqc
28	22243.0	FJVN100_R2_rmphix_fastqc
