Quality	Count	Library
32	17.0	FJVN100_R1_rmphix_fastqc
33	3074.0	FJVN100_R1_rmphix_fastqc
34	102322.0	FJVN100_R1_rmphix_fastqc
35	1451928.0	FJVN100_R1_rmphix_fastqc
36	2.0368341E7	FJVN100_R1_rmphix_fastqc
37	4396054.0	FJVN100_R1_rmphix_fastqc
32	9.0	FJVN100_R2_rmphix_fastqc
33	1809.0	FJVN100_R2_rmphix_fastqc
34	70993.0	FJVN100_R2_rmphix_fastqc
35	1491348.0	FJVN100_R2_rmphix_fastqc
36	2.1186713E7	FJVN100_R2_rmphix_fastqc
37	3570864.0	FJVN100_R2_rmphix_fastqc
32	21.0	FJVN101_R1_rmphix_fastqc
33	3352.0	FJVN101_R1_rmphix_fastqc
34	107474.0	FJVN101_R1_rmphix_fastqc
35	1485415.0	FJVN101_R1_rmphix_fastqc
36	1.9913263E7	FJVN101_R1_rmphix_fastqc
37	4204540.0	FJVN101_R1_rmphix_fastqc
32	5.0	FJVN101_R2_rmphix_fastqc
33	1443.0	FJVN101_R2_rmphix_fastqc
34	58176.0	FJVN101_R2_rmphix_fastqc
35	1271287.0	FJVN101_R2_rmphix_fastqc
36	2.0502463E7	FJVN101_R2_rmphix_fastqc
37	3880691.0	FJVN101_R2_rmphix_fastqc
32	21.0	FJVN102_R1_rmphix_fastqc
33	3116.0	FJVN102_R1_rmphix_fastqc
34	106076.0	FJVN102_R1_rmphix_fastqc
35	1545598.0	FJVN102_R1_rmphix_fastqc
36	2.2316907E7	FJVN102_R1_rmphix_fastqc
37	4694322.0	FJVN102_R1_rmphix_fastqc
32	17.0	FJVN102_R2_rmphix_fastqc
33	2170.0	FJVN102_R2_rmphix_fastqc
34	85705.0	FJVN102_R2_rmphix_fastqc
35	1741394.0	FJVN102_R2_rmphix_fastqc
36	2.3206407E7	FJVN102_R2_rmphix_fastqc
37	3630347.0	FJVN102_R2_rmphix_fastqc
32	21.0	FJVN103_R1_rmphix_fastqc
33	3505.0	FJVN103_R1_rmphix_fastqc
34	117455.0	FJVN103_R1_rmphix_fastqc
35	1682014.0	FJVN103_R1_rmphix_fastqc
36	2.3521359E7	FJVN103_R1_rmphix_fastqc
37	4751101.0	FJVN103_R1_rmphix_fastqc
32	6.0	FJVN103_R2_rmphix_fastqc
33	1920.0	FJVN103_R2_rmphix_fastqc
34	78058.0	FJVN103_R2_rmphix_fastqc
35	1685604.0	FJVN103_R2_rmphix_fastqc
36	2.4223359E7	FJVN103_R2_rmphix_fastqc
37	4086508.0	FJVN103_R2_rmphix_fastqc
32	19.0	FJVN104_R1_rmphix_fastqc
33	3268.0	FJVN104_R1_rmphix_fastqc
34	105329.0	FJVN104_R1_rmphix_fastqc
35	1502376.0	FJVN104_R1_rmphix_fastqc
36	2.0968734E7	FJVN104_R1_rmphix_fastqc
37	4321285.0	FJVN104_R1_rmphix_fastqc
32	9.0	FJVN104_R2_rmphix_fastqc
33	1612.0	FJVN104_R2_rmphix_fastqc
34	67489.0	FJVN104_R2_rmphix_fastqc
35	1426931.0	FJVN104_R2_rmphix_fastqc
36	2.1540989E7	FJVN104_R2_rmphix_fastqc
37	3863981.0	FJVN104_R2_rmphix_fastqc
32	17.0	FJVN115_R1_rmphix_fastqc
33	3084.0	FJVN115_R1_rmphix_fastqc
34	101345.0	FJVN115_R1_rmphix_fastqc
35	1446593.0	FJVN115_R1_rmphix_fastqc
36	1.998375E7	FJVN115_R1_rmphix_fastqc
37	4100180.0	FJVN115_R1_rmphix_fastqc
32	17.0	FJVN115_R2_rmphix_fastqc
33	1877.0	FJVN115_R2_rmphix_fastqc
34	72565.0	FJVN115_R2_rmphix_fastqc
35	1530990.0	FJVN115_R2_rmphix_fastqc
36	2.0722593E7	FJVN115_R2_rmphix_fastqc
37	3306927.0	FJVN115_R2_rmphix_fastqc
32	23.0	FJVN116_R1_rmphix_fastqc
33	3388.0	FJVN116_R1_rmphix_fastqc
34	108452.0	FJVN116_R1_rmphix_fastqc
35	1535580.0	FJVN116_R1_rmphix_fastqc
36	2.0990667E7	FJVN116_R1_rmphix_fastqc
37	4314072.0	FJVN116_R1_rmphix_fastqc
32	11.0	FJVN116_R2_rmphix_fastqc
