Duplication_Level	Percentage_of_deduplicated	Percentage_of_total	Library
1	93.68998899011814	87.69670406795402	FJVN100_R1_rmphix_fastqc
2	5.892976836333798	11.032014226189766	FJVN100_R1_rmphix_fastqc
3	0.3717448958455433	1.0438938825100366	FJVN100_R1_rmphix_fastqc
4	0.026056610663840064	0.09755914795300888	FJVN100_R1_rmphix_fastqc
5	0.007105960345554066	0.03325698445798725	FJVN100_R1_rmphix_fastqc
6	0.002157649588927485	0.012117757266625827	FJVN100_R1_rmphix_fastqc
7	0.00277969324346392	0.018213147090690832	FJVN100_R1_rmphix_fastqc
8	0.0031140899613212323	0.02331906994313162	FJVN100_R1_rmphix_fastqc
9	9.647417961896573E-4	0.008127251272301777	FJVN100_R1_rmphix_fastqc
>10	0.003110532103202908	0.03479446536239738	FJVN100_R1_rmphix_fastqc
>50	0.0	0.0	FJVN100_R1_rmphix_fastqc
>100	0.0	0.0	FJVN100_R1_rmphix_fastqc
>500	0.0	0.0	FJVN100_R1_rmphix_fastqc
>1k	0.0	0.0	FJVN100_R1_rmphix_fastqc
>5k	0.0	0.0	FJVN100_R1_rmphix_fastqc
>10k+	0.0	0.0	FJVN100_R1_rmphix_fastqc
1	93.54201162094967	87.40603830294408	FJVN100_R2_rmphix_fastqc
2	6.025919019668579	11.261286763382602	FJVN100_R2_rmphix_fastqc
3	0.3844948371625298	1.0778206459947137	FJVN100_R2_rmphix_fastqc
4	0.028249530889825965	0.1055859088855999	FJVN100_R2_rmphix_fastqc
5	0.007332713254663215	0.034258586302310046	FJVN100_R2_rmphix_fastqc
6	0.004141957539738852	0.023221572409706525	FJVN100_R2_rmphix_fastqc
7	0.003248052118095756	0.021244952299749126	FJVN100_R2_rmphix_fastqc
8	0.0014916829330231115	0.011150677076135549	FJVN100_R2_rmphix_fastqc
9	7.246929927657985E-4	0.006094404871921605	FJVN100_R2_rmphix_fastqc
>10	0.002295364051081167	0.028861450752020092	FJVN100_R2_rmphix_fastqc
>50	8.62193314347423E-5	0.005782198225937625	FJVN100_R2_rmphix_fastqc
>100	0.0	0.0	FJVN100_R2_rmphix_fastqc
>500	0.0	0.0	FJVN100_R2_rmphix_fastqc
>1k	4.309108603560847E-6	0.018654536855223672	FJVN100_R2_rmphix_fastqc
>5k	0.0	0.0	FJVN100_R2_rmphix_fastqc
>10k+	0.0	0.0	FJVN100_R2_rmphix_fastqc
1	93.31623522102291	87.04438918189473	FJVN101_R1_rmphix_fastqc
2	6.206886517387483	11.5794351186087	FJVN101_R1_rmphix_fastqc
3	0.44625377203179745	1.2487822804238022	FJVN101_R1_rmphix_fastqc
4	0.026960093730849823	0.10059235182517379	FJVN101_R1_rmphix_fastqc
5	0.00216127174895461	0.010080056208775176	FJVN101_R1_rmphix_fastqc
6	3.6095702235901445E-4	0.00202018116940133	FJVN101_R1_rmphix_fastqc
7	3.100312362778925E-4	0.0020243568193293333	FJVN101_R1_rmphix_fastqc
8	2.7183766352438125E-4	0.0020285381914149467	FJVN101_R1_rmphix_fastqc
9	0.0	0.0	FJVN101_R1_rmphix_fastqc
>10	5.231932812051576E-4	0.008343430165041207	FJVN101_R1_rmphix_fastqc
>50	3.7104874656632084E-5	0.002304504693652364	FJVN101_R1_rmphix_fastqc
>100	0.0	0.0	FJVN101_R1_rmphix_fastqc
>500	0.0	0.0	FJVN101_R1_rmphix_fastqc
>1k	0.0	0.0	FJVN101_R1_rmphix_fastqc
>5k	0.0	0.0	FJVN101_R1_rmphix_fastqc
>10k+	0.0	0.0	FJVN101_R1_rmphix_fastqc
1	93.14994237611153	86.73102023102162	FJVN101_R2_rmphix_fastqc
2	6.365109581794558	11.852985280061066	FJVN101_R2_rmphix_fastqc
3	0.4538236445702328	1.2676525619181997	FJVN101_R2_rmphix_fastqc
4	0.027275108622064153	0.10158237084686463	FJVN101_R2_rmphix_fastqc
5	0.002381372013441349	0.011086363502052877	FJVN101_R2_rmphix_fastqc
6	5.42342204710337E-4	0.003029817831058501	FJVN101_R2_rmphix_fastqc
7	4.6582717585379126E-4	0.003036090589836708	FJVN101_R2_rmphix_fastqc
8	0.0	0.0	FJVN101_R2_rmphix_fastqc
9	1.2127007324237566E-4	0.0010162206456339532	FJVN101_R2_rmphix_fastqc
>10	2.2044855678139864E-4	0.005342654380718446	FJVN101_R2_rmphix_fastqc
>50	1.1357757397816907E-4	0.0068483607382309655	FJVN101_R2_rmphix_fastqc
>100	0.0	0.0	FJVN101_R2_rmphix_fastqc
>500	0.0	0.0	FJVN101_R2_rmphix_fastqc
>1k	4.4513036044298565E-6	0.016400048464710094	FJVN101_R2_rmphix_fastqc
>5k	0.0	0.0	FJVN101_R2_rmphix_fastqc
>10k+	0.0	0.0	FJVN101_R2_rmphix_fastqc
1	94.37937716613214	89.08254011110539	FJVN102_R1_rmphix_fastqc
2	5.311176522263163	10.02619660752439	FJVN102_R1_rmphix_fastqc
3	0.29554795659915906	0.836882913059135	FJVN102_R1_rmphix_fastqc
4	0.01331340674958944	0.050264883130055386	FJVN102_R1_rmphix_fastqc
5	4.268101248325464E-4	0.0020142816792642015	FJVN102_R1_rmphix_fastqc
6	0.0	0.0	FJVN102_R1_rmphix_fastqc
7	0.0	0.0	FJVN102_R1_rmphix_fastqc
8	1.3411223714957472E-4	0.0010126838386938836	FJVN102_R1_rmphix_fastqc
9	0.0	0.0	FJVN102_R1_rmphix_fastqc
>10	2.4025893969103914E-5	0.0010885196630736331	FJVN102_R1_rmphix_fastqc
>50	0.0	0.0	FJVN102_R1_rmphix_fastqc
>100	0.0	0.0	FJVN102_R1_rmphix_fastqc
>500	0.0	0.0	FJVN102_R1_rmphix_fastqc
>1k	0.0	0.0	FJVN102_R1_rmphix_fastqc
>5k	0.0	0.0	FJVN102_R1_rmphix_fastqc
