Length	Count	Library
50-54	246842.0	FJVN100_R1_rmphix_fastqc
55-59	228046.0	FJVN100_R1_rmphix_fastqc
60-64	219335.0	FJVN100_R1_rmphix_fastqc
65-69	210791.0	FJVN100_R1_rmphix_fastqc
70-74	209251.0	FJVN100_R1_rmphix_fastqc
75-79	199288.0	FJVN100_R1_rmphix_fastqc
80-84	195773.0	FJVN100_R1_rmphix_fastqc
85-89	190255.0	FJVN100_R1_rmphix_fastqc
90-94	189150.0	FJVN100_R1_rmphix_fastqc
95-99	196394.0	FJVN100_R1_rmphix_fastqc
100-104	210940.0	FJVN100_R1_rmphix_fastqc
105-109	207551.0	FJVN100_R1_rmphix_fastqc
110-114	201494.0	FJVN100_R1_rmphix_fastqc
115-119	201168.0	FJVN100_R1_rmphix_fastqc
120-124	216384.0	FJVN100_R1_rmphix_fastqc
125-129	218396.0	FJVN100_R1_rmphix_fastqc
130-134	219839.0	FJVN100_R1_rmphix_fastqc
135-139	217799.0	FJVN100_R1_rmphix_fastqc
140-144	240260.0	FJVN100_R1_rmphix_fastqc
145-149	302796.0	FJVN100_R1_rmphix_fastqc
150-152	2.1999984E7	FJVN100_R1_rmphix_fastqc
50-54	213858.0	FJVN100_R2_rmphix_fastqc
55-59	215539.0	FJVN100_R2_rmphix_fastqc
60-64	205046.0	FJVN100_R2_rmphix_fastqc
65-69	224556.0	FJVN100_R2_rmphix_fastqc
70-74	214603.0	FJVN100_R2_rmphix_fastqc
75-79	215671.0	FJVN100_R2_rmphix_fastqc
80-84	213473.0	FJVN100_R2_rmphix_fastqc
85-89	213473.0	FJVN100_R2_rmphix_fastqc
90-94	215185.0	FJVN100_R2_rmphix_fastqc
95-99	214858.0	FJVN100_R2_rmphix_fastqc
100-104	217668.0	FJVN100_R2_rmphix_fastqc
105-109	218365.0	FJVN100_R2_rmphix_fastqc
110-114	222764.0	FJVN100_R2_rmphix_fastqc
115-119	228021.0	FJVN100_R2_rmphix_fastqc
120-124	235033.0	FJVN100_R2_rmphix_fastqc
125-129	243839.0	FJVN100_R2_rmphix_fastqc
130-134	250637.0	FJVN100_R2_rmphix_fastqc
135-139	268531.0	FJVN100_R2_rmphix_fastqc
140-144	274018.0	FJVN100_R2_rmphix_fastqc
145-149	321555.0	FJVN100_R2_rmphix_fastqc
150-152	2.1695043E7	FJVN100_R2_rmphix_fastqc
50-54	252173.0	FJVN101_R1_rmphix_fastqc
55-59	231649.0	FJVN101_R1_rmphix_fastqc
60-64	222600.0	FJVN101_R1_rmphix_fastqc
65-69	212811.0	FJVN101_R1_rmphix_fastqc
70-74	211770.0	FJVN101_R1_rmphix_fastqc
75-79	201643.0	FJVN101_R1_rmphix_fastqc
80-84	197974.0	FJVN101_R1_rmphix_fastqc
85-89	192515.0	FJVN101_R1_rmphix_fastqc
90-94	191806.0	FJVN101_R1_rmphix_fastqc
95-99	197930.0	FJVN101_R1_rmphix_fastqc
100-104	212414.0	FJVN101_R1_rmphix_fastqc
105-109	209866.0	FJVN101_R1_rmphix_fastqc
110-114	203297.0	FJVN101_R1_rmphix_fastqc
115-119	204011.0	FJVN101_R1_rmphix_fastqc
120-124	218323.0	FJVN101_R1_rmphix_fastqc
125-129	221195.0	FJVN101_R1_rmphix_fastqc
130-134	221808.0	FJVN101_R1_rmphix_fastqc
135-139	218503.0	FJVN101_R1_rmphix_fastqc
140-144	241462.0	FJVN101_R1_rmphix_fastqc
145-149	303342.0	FJVN101_R1_rmphix_fastqc
150-152	2.1346973E7	FJVN101_R1_rmphix_fastqc
50-54	190690.0	FJVN101_R2_rmphix_fastqc
55-59	190766.0	FJVN101_R2_rmphix_fastqc
60-64	182628.0	FJVN101_R2_rmphix_fastqc
65-69	202258.0	FJVN101_R2_rmphix_fastqc
70-74	193095.0	FJVN101_R2_rmphix_fastqc
75-79	195530.0	FJVN101_R2_rmphix_fastqc
80-84	193074.0	FJVN101_R2_rmphix_fastqc
85-89	193183.0	FJVN101_R2_rmphix_fastqc
90-94	195722.0	FJVN101_R2_rmphix_fastqc
95-99	195084.0	FJVN101_R2_rmphix_fastqc
100-104	197368.0	FJVN101_R2_rmphix_fastqc
105-109	199448.0	FJVN101_R2_rmphix_fastqc
110-114	203430.0	FJVN101_R2_rmphix_fastqc
115-119	209827.0	FJVN101_R2_rmphix_fastqc
120-124	214807.0	FJVN101_R2_rmphix_fastqc
125-129	224040.0	FJVN101_R2_rmphix_fastqc
130-134	230340.0	FJVN101_R2_rmphix_fastqc
135-139	247014.0	FJVN101_R2_rmphix_fastqc
140-144	252496.0	FJVN101_R2_rmphix_fastqc
145-149	297525.0	FJVN101_R2_rmphix_fastqc
150-152	2.150574E7	FJVN101_R2_rmphix_fastqc
50-54	265350.0	FJVN102_R1_rmphix_fastqc
55-59	245198.0	FJVN102_R1_rmphix_fastqc
60-64	235130.0	FJVN102_R1_rmphix_fastqc
65-69	225234.0	FJVN102_R1_rmphix_fastqc
70-74	224251.0	FJVN102_R1_rmphix_fastqc
75-79	214534.0	FJVN102_R1_rmphix_fastqc
80-84	208788.0	FJVN102_R1_rmphix_fastqc
85-89	204468.0	FJVN102_R1_rmphix_fastqc
90-94	205176.0	FJVN102_R1_rmphix_fastqc
95-99	210695.0	FJVN102_R1_rmphix_fastqc
100-104	226221.0	FJVN102_R1_rmphix_fastqc
105-109	222425.0	FJVN102_R1_rmphix_fastqc
110-114	216211.0	FJVN102_R1_rmphix_fastqc
115-119	216253.0	FJVN102_R1_rmphix_fastqc
120-124	233285.0	FJVN102_R1_rmphix_fastqc
125-129	235125.0	FJVN102_R1_rmphix_fastqc
130-134	235900.0	FJVN102_R1_rmphix_fastqc
135-139	233850.0	FJVN102_R1_rmphix_fastqc
