SampleID	MappedReads75	RareMinMappedReads75	RareMedMappedReads75
FJVN100	188759	101187	188759
FJVN101	623679	395788	623679
FJVN102	209069	121608	204646
FJVN103	853891	429865	777741
FJVN104	640443	392814	640443
FJVN115	167816	85833	167816
FJVN116	321143	203191	321143
FJVN117	425102	238546	425102
FJVN118	118986	73352	118986
FJVN67	157298	85847	157298
FJVN68	64949	31074	64949
FJVN69	277643	149778	277643
FJVN70	149772	85106	149772
FJVN81	104294	51528	104294
FJVN82	292441	110278	193125
FJVN83	142564	85116	142564
FJVN84	109209	68695	109209
FJVN85	367653	221639	367653
FJVN86	395541	227871	395541
FJVN87	342964	180200	342964
FJVN88	407375	241978	407375
FJVN97	302397	170386	302397
FJVN98	862104	494989	839688
FJVN99	510546	316353	510546
JTSVD01	7808188	4357154	7129988
JTSVD02	6218380	3305922	5501368
JTSVD03	9017428	4919648	8142093
JTSVD04	9510397	5081163	8494205
JTSVD05	8447151	4845522	8114630
JTSVD06	6018691	3204305	5305820
JTSVD07	10800971	6525956	10716820
JTSVD08	13198387	7970319	12833818
JTSVD09	10120754	6675672	10120754
JTSVD10	10875100	5966796	9507283
JTSVD11	7882724	4133497	6860363
JTSVD12	12460123	6468825	10288836
JTSVD13	9803191	5752010	9504554
JTSVD14	10496893	6209872	10098193
JTSVD15	8940353	5275329	8795817
JTSVD16	7593722	4497840	7377773
JTSVD17	8286780	5295247	8286780
JTSVD18	9152050	5515592	9041104
JTSVD19	7860764	4859562	7860764
JTSVD20	14153821	8163761	13093723
JTSVD21	12032351	6551012	10645918
JTSVD22	10686479	6411828	10535276
JTSVD23	6480301	3862360	6287617
JTSVD24	8713044	5465343	8713044
JVD100	9345162	4427875	7298853
JVD101	13112746	8155562	13112746
JVD102	5529308	3561295	5529308
JVD103	12996667	6176567	10295135
JVD104	7917351	4609902	7542682
JVD105	12125733	7721605	12125733
JVD106	7542868	5007355	7542868
JVD107	13311644	6867814	11884419
JVD108	14277343	6358257	10228711
JVD109	10926556	7131799	10926556
JVD110	7289436	4811819	7289436
JVD111	10832890	6513669	10832890
JVD112	13550425	6254293	10044240
JVD113	15801362	7000974	11360209
JVD114	10959230	4588204	7381708
JVD115	8985880	5102108	8422882
JVD116	9255143	6112698	9255143
JVD117	12594427	7715879	12591268
JVD119	15618260	7931931	12836364
JVD121	17935908	9671397	15501097
JVD122	11399384	8851694	11399384
JVD123	10377000	7208046	10377000
JVD125	16323336	10086780	15892118
JVD127	18900731	9064936	14312669
JVD129	22685788	12027757	18852083
JVD130	15702392	12448591	15702392
JVD133	17709657	12663920	17709657
JVD135	15997908	12131459	15997908
JVD137	17990139	11787633	17990139
JVD140	21043715	8519498	13314863
JVD141	23415519	16577119	23415519
JVD143	19329276	11745854	18590269
JVD147	10759166	9557733	10759166
JVD148	10009412	7320070	10009412
JVD149	21975384	13704625	21420190
JVD157	18060417	14158272	18060417
JVD159	15974730	13916744	15974730
JVD17	10369231	8360316	10369231
JVD18	5597569	3864091	5597569
JVD19	8319333	6439768	8319333
JVD201	12581561	7069675	11450809
JVD202	7641499	4850020	7641499
JVD203	14882812	8187536	13114743
JVD204	8160962	4529204	7337131
JVD205	11742507	6561563	10600652
JVD206	6961433	4495313	6961433
JVD207	13197784	7336062	11821251
JVD208	168845877	5091901	8482271
JVD209	12858097	6712555	11089678
JVD20	8550887	4550866	7294851
JVD210	5587129	3029527	5102983
JVD211	11188031	6170488	10196270
JVD212	7293058	3914774	6457019
JVD213	10265843	6513361	10265843
JVD214	6097632	3343875	5508037
JVD215	10328433	5264710	8893666
JVD216	7049343	4685402	7049343
JVD217	12751070	6590023	10899972
JVD218	6057787	3148175	5265700
JVD219	12199603	7358835	11943014
JVD21	10110437	7649028	10110437
JVD220	6479401	4001820	6479401
JVD221	12496320	7614696	12353097
JVD222	5124707	3369040	5124707
JVD223	10449642	5570548	9306397
JVD224	4689032	3108731	4689032
JVD225	9843378	5095838	8684790
JVD226	8070792	4435459	7182905
JVD227	11948977	6580003	10637974
JVD228	6263528	3795193	6263528
JVD229	14976589	9599389	14976589
JVD22	7587132	5002801	7587132
JVD230	5929211	2955274	4811792
JVD231	11142571	6045585	9993318
JVD232	5512767	2903774	4862535
JVD23	12474559	2671121	4488367
JVD24	6839436	4423863	6839436
JVD25	9099864	5855053	9099864
JVD27	9686305	6814890	9686305
JVD28	4011387	3977549	4011387
JVD29	12043264	6741285	10867726
JVD30	8297744	4883316	7963577
JVD31	11155447	7199724	11155447
JVD32	6066805	3834211	6066805
JVD33	11565804	6787050	10964692
JVD34	6345005	3787795	6049459
JVD37	9356480	6687787	9356480
JVD39	11441094	7326481	11441094
JVD41	12962565	7460476	12298363
JVD42	7441546	4225944	6772377
JVD43	13337741	8464773	13337741
JVD44	6700345	4434698	6700345
JVD45	20707429	8989427	14539198
JVD46	14389800	5689519	9178135
JVD47	15797670	7929031	12948647
JVD48	6145890	3830964	6145890
JVD49	12467409	7468976	12123966
JVD50	11478432	6394092	10169539
JVD51	10159890	6263582	10159890
JVD52	6011466	3051120	5080708
JVD53	12579817	6287023	10398829
JVD54	3021056	3021056	3021056
JVD55	10711169	6243187	10424381
JVD56	6183982	3158736	5423910
JVD57	12421495	6746518	11228470
JVD58	6166130	3785511	6166130
JVD59	11297787	7434394	11297787
JVD60	6321955	3727572	6145337
JVD61	13036007	9650099	13036007
JVD62	7605927	4236954	7004355
JVD63	12146665	7876106	12146665
JVD64	7234580	3919714	6554614
JVD65	11453200	6740922	11326109
JVD66	7833646	3792240	6285687
JVD67	9347944	5468950	9097700
JVD68	7613454	3857409	6391123
JVD69	13891182	8819362	13891182
JVD70	7654786	3826505	6472165
JVD71	9590073	6121650	9590073
JVD72	6651576	3420133	5738219
JVD73	11761759	7504828	11761759
JVD74	7132687	4534200	7132687
JVD75	9377267	6079937	9377267
JVD76	6683801	3892472	6512321
JVD77	11309916	7377895	11309916
JVD78	2468805	2340290	2468805
JVD79	8268243	4910167	8253896
JVD80	6674180	4027048	6674180
JVD81	10106056	6220559	10106056
JVD82	6471832	3453484	5801939
JVD83	8387230	5488969	8387230
JVD84	8702656	4268034	7012517
JVD85	10735764	6681482	10735764
JVD86	7215776	3190724	5356052
JVD87	9702063	6175411	9702063
JVD88	6990579	3108461	5306775
JVD89	9973514	6121197	9973514
JVD90	10368375	4903441	8119924
JVD91	9764480	6217918	9764480
JVD92	11240291	6796559	10814999
JVD93	11362564	7500873	11362564
JVD94	5218215	2921814	4865165
JVD95	9717374	5724900	9554695
JVD96	11631312	6256027	10028781
JVD97	10111923	6314526	10111923
JVD98	8197514	4148369	6894781
JVD99	9890153	6085276	9890153
JVN10	5114	2352	5022
JVN113	635627	323640	629467
JVN114	538399	341808	538399
JVN115	550232	324671	550232
JVN116	236569	155325	236569
JVN117	1144443	595261	1097734
JVN118	45090	16616	35096
JVN119	1001830	594513	1001830
JVN11	14204	8694	14204
JVN120	222121	130334	222121
JVN121	179349	106747	179349
JVN122	475703	270719	475703
JVN123	102916	62537	102916
JVN124	114494	61215	110575
JVN125	748122	366197	667900
JVN126	35590	17661	33340
JVN127	846525	515212	846525
JVN128	179223	69179	116732
JVN12	862	603	862
JVN13	17152	5353	11879
JVN145	70690	38204	70690
JVN146	161401	103990	161401
JVN147	112066	70253	112066
JVN148	356370	207106	333161
JVN149	195437	85517	173042
JVN14	13294	2529	9447
JVN150	126291	84468	126291
JVN151	111624	70733	111624
JVN152	176404	116761	176404
JVN15	22410	9869	22410
JVN161	45227	32484	45227
JVN162	61655	27594	61655
JVN163	32051	19836	32051
JVN164	18197	12606	18197
JVN165	66736	30798	66736
JVN166	25126	11758	25126
JVN167	94366	53876	94366
JVN168	8873	4200	8873
JVN16	3045	0	0
JVN177	565104	312099	524523
JVN178	44964	22926	44202
JVN179	22991	8101	20237
JVN17	654739	332441	619197
JVN180	80716	33897	61729
JVN181	426734	247372	423462
JVN182	85050	39732	68754
JVN183	226299	96946	172921
JVN184	51026	20074	51026
JVN18	478381	281985	478381
JVN193	65011	36627	65011
JVN194	106918	62784	104411
JVN195	12287	5607	12160
JVN196	118837	56252	109965
JVN197	272418	179531	272418
JVN198	14895	8541	14895
JVN199	143768	82894	143768
JVN19	892267	545158	892267
JVN1	2577532	29400	74295
JVN200	48582	22361	48582
JVN201	2366989	1164091	2096677
JVN202	1404587	830117	1404587
JVN203	2713617	1710108	2713617
JVN204	949610	516785	896467
JVN205	1714296	968912	1705073
JVN206	2093735	1494767	2093735
JVN207	4788288	2704905	4507689
JVN208	1411702	841719	1411702
JVN20	340135	144761	276939
JVN21	775225	313669	593846
JVN22	533520	192254	372178
JVN23	1027416	577628	1027416
JVN24	341635	174884	327186
JVN25	322870	142811	307035
JVN26	291214	159074	291214
JVN27	1139536	639687	1113236
JVN28	163338	91111	163338
JVN29	177381	102071	177381
JVN2	348126	48507	99399
JVN30	345561	148686	296408
JVN31	472412	243835	472412
JVN32	87928	48984	87928
JVN33	230789	120540	230789
JVN34	160296	78794	154423
JVN35	280487	150854	280487
JVN36	144620	82874	144620
JVN37	368322	212145	368322
JVN38	131194	66056	130346
JVN39	189836	106786	189836
JVN3	15312	1851	3837
JVN40	53148	20282	50187
JVN41	1654054	973443	1654054
JVN42	514365	295511	514365
JVN43	1617007	861273	1489394
JVN44	619580	372804	619580
JVN45	1429235	685193	1274994
JVN46	527421	319089	527421
JVN47	1152004	598175	1095756
JVN48	288211	128909	272404
JVN49	1503575	876433	1503575
JVN4	769	0	0
JVN50	2134159	1320065	2134159
JVN51	2239551	1367328	2239551
JVN52	228879	128627	228879
JVN53	2375873	1223618	2222818
JVN54	764539	392504	742576
JVN55	1271808	614227	1220581
JVN56	442423	218103	442423
JVN57	1767479	891379	1699937
JVN58	1136899	682543	1136899
JVN59	2246732	1427116	2246732
JVN5	13013	7902	13013
JVN60	275828	158550	275828
JVN61	3805494	2552606	3805494
JVN62	1927094	1032445	1810422
JVN63	4325293	2265637	3914402
JVN64	863441	485796	863441
JVN65	3740731	2225127	3740731
JVN66	2494096	1616729	2494096
JVN67	2500358	1509508	2500358
JVN68	779349	471937	779349
JVN69	4341033	2634726	4341033
JVN6	2231	323	1502
JVN70	1154671	640251	1154671
JVN71	2342973	1231199	2270769
JVN72	1020117	599737	1020117
JVN7	32343	198	3265
JVN8	2067	1307	2038
JVN9	28218	9992	19813
