DNAID	RarefactionFactor
FJVN100	0.698077436837753
FJVN101	0.714574300096076
FJVN102	0.64098877975472
FJVN103	0.610950358024509
FJVN104	0.683045332385463
FJVN115	0.716779099674355
FJVN116	0.681748512977539
FJVN117	0.671531030051788
FJVN118	0.721282626709967
FJVN67	0.701294653666443
FJVN68	0.706486731666876
FJVN69	0.725172239462284
FJVN70	0.712517497765362
FJVN81	0.687693479883706
FJVN82	0.493885779306077
FJVN83	0.71897414005444
FJVN84	0.762193993875107
FJVN85	0.709348269790465
FJVN86	0.672844739181718
FJVN87	0.692119475276798
FJVN88	0.669032415499686
FJVN97	0.698250210534032
FJVN98	0.644089690034678
FJVN99	0.71873112924034
JTSVD01	0.606458439238902
JTSVD02	0.592326649146535
JTSVD03	0.599958800322062
JTSVD04	0.594190891925814
JTSVD05	0.63242667523917
JTSVD06	0.587482435500973
JTSVD07	0.650168444085052
JTSVD08	0.638180309439448
JTSVD09	0.692550631613928
JTSVD10	0.578036233181148
JTSVD11	0.580890928877114
JTSVD12	0.548671330208194
JTSVD13	0.637599936151903
JTSVD14	0.631960678726762
JTSVD15	0.645546580872086
JTSVD16	0.638036202682101
JTSVD17	0.675699722598691
JTSVD18	0.647543881764541
JTSVD19	0.671587383743015
JTSVD20	0.60968233930274
JTSVD21	0.585041457156353
JTSVD22	0.646066068557943
JTSVD23	0.637653770217047
JTSVD24	0.660897689679235
JVD100	0.527225997559301
JVD101	0.663903372928347
JVD102	0.686083522500377
JVD103	0.536449722281018
JVD104	0.627219529549084
JVD105	0.683288208084287
JVD106	0.700878743229654
JVD107	0.591359746589488
JVD108	0.483738855506177
JVD109	0.693685029355297
JVD110	0.689840156419648
JVD111	0.656042492033244
JVD112	0.497526866682579
JVD113	0.486031129188943
JVD114	0.458873796164308
JVD115	0.618479655542436
JVD116	0.683837562745987
JVD117	0.654336276158204
JVD119	0.549647899299855
JVD121	0.57051500947401
JVD122	0.786283585452225
JVD123	0.721153483871251
JVD125	0.638053351142952
JVD127	0.505442667143466
JVD129	0.548963078603681
JVD130	0.799342537140526
JVD133	0.728327977548234
JVD135	0.771050114915132
JVD137	0.672172587294575
JVD140	0.422553372095772
JVD141	0.718873524165344
JVD143	0.630701880544073
JVD147	0.904734038244843
JVD148	0.741622574671173
JVD149	0.638876363169441
JVD157	0.792009256554118
JVD159	0.878411625970845
JVD17	0.825468195282022
JVD18	0.719862676668824
JVD19	0.800224355008746
JVD20	0.567134571621434
JVD201	0.603099831535461
JVD202	0.668644902938174
JVD203	0.582130504738928
JVD204	0.593390142616557
JVD205	0.59668780095826
JVD206	0.68002366347533
JVD207	0.592656305169611
JVD208	0.03873349765412
JVD209	0.575263177140613
JVD21	0.783092196903432
JVD210	0.606212418568685
JVD211	0.603939961144554
JVD212	0.589281072095475
JVD213	0.685614813086801
JVD214	0.599211997486485
JVD215	0.576561962256308
JVD216	0.707111996718469
JVD217	0.569621995470828
JVD218	0.58012459478029
JVD219	0.641582891039105
JVD22	0.694890444367195
JVD220	0.659311500563468
JVD221	0.647632550551305
JVD222	0.690785355596029
JVD223	0.593676019128308
JVD224	0.707393016421722
JVD225	0.591112034176941
JVD226	0.590147971463403
JVD227	0.590332244111082
JVD228	0.660951963689496
JVD229	0.673011877968618
JVD23	0.273531667775691
JVD230	0.544090200728981
JVD231	0.595413382331845
JVD232	0.589179396925935
JVD24	0.683361572106385
JVD25	0.689267260153066
JVD27	0.731971750668598
JVD28	0.992607174949229
JVD29	0.596359897708881
JVD30	0.631180266196438
JVD31	0.683256016238747
JVD32	0.671183078887146
JVD33	0.623347838733387
JVD34	0.62569014662334
JVD37	0.741830696148297
JVD39	0.671835958418194
JVD41	0.625592495481679
JVD42	0.600652052287748
JVD43	0.662689053421193
JVD44	0.692640488660603
JVD45	0.475304306622613
JVD46	0.43455233348559
JVD47	0.547916926218311
JVD48	0.671401766465395
JVD49	0.638603942878298
JVD50	0.591137878187881
JVD51	0.660856069002966
JVD52	0.566692905233581
JVD53	0.553952183762034
JVD54	1
JVD55	0.639319939815318
JVD56	0.587701455141307
JVD57	0.601193401593054
JVD58	0.668837446664769
JVD59	0.691943806869809
JVD60	0.638235682532784
JVD61	0.763465257666995
JVD62	0.609769561947182
JVD63	0.68366200283323
JVD64	0.602366618365946
JVD65	0.648739469808136
JVD66	0.542961679920975
JVD67	0.639457995383485
JVD68	0.561327653768321
JVD69	0.669926839884196
JVD70	0.568937754411529
JVD71	0.686192900816861
JVD72	0.578300732898041
JVD73	0.678158213849469
JVD74	0.678092318831568
JVD75	0.697319575688256
JVD76	0.639876664681005
JVD77	0.693832317163657
JVD78	0.953247001994002
JVD79	0.653491268068839
JVD80	0.657912432306087
JVD81	0.672078768206177
JVD82	0.597993861312208
JVD83	0.696870516586003
JVD84	0.541084449895223
JVD85	0.67035575066352
JVD86	0.508189365416071
JVD87	0.686088133671848
JVD88	0.521032242499762
JVD89	0.673329922211246
JVD90	0.529062761333758
JVD91	0.680958488223022
JVD92	0.632720363790768
JVD93	0.704409829468632
JVD94	0.617502250360385
JVD95	0.645457031215421
JVD96	0.571933876006088
