SampleID	DNAID	Profile	Description	fwd1	rvs1	fwd2	rvs2	fwd3	rvs3	fwd4	rvs4	fwd5	rvs5	fwd6	rvs6
JTS01	JTSVD01	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JTSVD01_S57_L003_R1_001.fastq.gz	JTSVD01_S57_L003_R2_001.fastq.gz	JTSVD01_S30_L002_R1_001.fastq.gz	JTSVD01_S30_L002_R2_001.fastq.gz								
JTS02	JTSVD02	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JTSVD02_S58_L003_R1_001.fastq.gz	JTSVD02_S58_L003_R2_001.fastq.gz	JTSVD02_S31_L002_R1_001.fastq.gz	JTSVD02_S31_L002_R2_001.fastq.gz								
JTS03	JTSVD03	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JTSVD03_S59_L003_R1_001.fastq.gz	JTSVD03_S59_L003_R2_001.fastq.gz	JTSVD03_S32_L002_R1_001.fastq.gz	JTSVD03_S32_L002_R2_001.fastq.gz								
JTS04	JTSVD04	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JTSVD04_S60_L003_R1_001.fastq.gz	JTSVD04_S60_L003_R2_001.fastq.gz	JTSVD04_S33_L002_R1_001.fastq.gz	JTSVD04_S33_L002_R2_001.fastq.gz								
JTS05	JTSVD05	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JTSVD05_S61_L003_R1_001.fastq.gz	JTSVD05_S61_L003_R2_001.fastq.gz	JTSVD05_S34_L002_R1_001.fastq.gz	JTSVD05_S34_L002_R2_001.fastq.gz								
JTS06	JTSVD06	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JTSVD06_S62_L003_R1_001.fastq.gz	JTSVD06_S62_L003_R2_001.fastq.gz	JTSVD06_S35_L002_R1_001.fastq.gz	JTSVD06_S35_L002_R2_001.fastq.gz								
JTS07	JTSVD07	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JTSVD07_S63_L003_R1_001.fastq.gz	JTSVD07_S63_L003_R2_001.fastq.gz										
JTS08	JTSVD08	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JTSVD08_S64_L003_R1_001.fastq.gz	JTSVD08_S64_L003_R2_001.fastq.gz										
JTS09	JTSVD09	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JTSVD09_S65_L003_R1_001.fastq.gz	JTSVD09_S65_L003_R2_001.fastq.gz										
JTS10	JTSVD10	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JTSVD10_S66_L003_R1_001.fastq.gz	JTSVD10_S66_L003_R2_001.fastq.gz	JTSVD10_S36_L002_R1_001.fastq.gz	JTSVD10_S36_L002_R2_001.fastq.gz								
