SoilID	Study	Location	Position	Feature	Timepoint	collection_date	lat_lon	elev	organism	env_broad_scale	env_local_scale	env_medium	geo_loc_name	ProfileV	ProfileVD	ProfileVNFresh	ProfileVNFrozen	ProfileA	ProfileATM	ProfileAVNFresh	ProfileAVNFrozen	ProfileWard	InitialWeight	FinalWeight	GSM	WardBatch	pH_Soil	pH_Buffer	Soluble_Salts	Lime	Texture	OM	Nitrate	lbs	Phosphorus	Potassium	Sulfate	Zinc	Iron	Manganese	Copper	Calcium	Magnesium	Sodium	CEC	H_Sat	K_Sat	Ca_Sat	Mg_Sat	Na_Sat	Latitude	Longitude	Elevation
JEP1	Temporal	LT1	Top	Mound	T01	2020-11-05	38.26779 N 121.825907 W	6.88848 m	unclassified sequences; metagenomes; ecological metagenomes; soil metagenome	grassland biome [ENVO:01000177]	soil environment [ENVO:01001044]	grassland soil[ENVO:00005750]	USA: California	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	12.12	12.05	0.00580912863070527	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.26779	-121.825907	6.88848
JEP2	Temporal	LT1	Bottom	Swale	T01	2020-11-05	38.26779 N 121.825907 W	6.88848 m	unclassified sequences; metagenomes; ecological metagenomes; soil metagenome	grassland biome [ENVO:01000177]	soil environment [ENVO:01001044]	grassland soil[ENVO:00005750]	USA: California	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	12.054	11.948	0.00887177770338131	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.26779	-121.825907	6.88848
JEP3	Temporal	LT2	Top	Mound	T01	2020-11-05	38.267738 N 121.826347 W	6.4008 m	unclassified sequences; metagenomes; ecological metagenomes; soil metagenome	grassland biome [ENVO:01000177]	soil environment [ENVO:01001044]	grassland soil[ENVO:00005750]	USA: California	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	12.07	12.03	0.00332502078137996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.267738	-121.826347	6.4008
JEP4	Temporal	LT2	Bottom	Swale	T01	2020-11-05	38.267738 N 121.826347 W	6.4008 m	unclassified sequences; metagenomes; ecological metagenomes; soil metagenome	grassland biome [ENVO:01000177]	soil environment [ENVO:01001044]	grassland soil[ENVO:00005750]	USA: California	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	12.042	11.956	0.00719304115088661	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.267738	-121.826347	6.4008
JEP5	Temporal	LT3	Top	Mound	T01	2020-11-05	38.267138 N 121.826286 W	4.29768 m	unclassified sequences; metagenomes; ecological metagenomes; soil metagenome	grassland biome [ENVO:01000177]	soil environment [ENVO:01001044]	grassland soil[ENVO:00005750]	USA: California	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	12.068	11.878	0.0159959589156423	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.267138	-121.826286	4.29768
JEP6	Temporal	LT3	Bottom	Swale	T01	2020-11-05	38.267138 N 121.826286 W	4.29768 m	unclassified sequences; metagenomes; ecological metagenomes; soil metagenome	grassland biome [ENVO:01000177]	soil environment [ENVO:01001044]	grassland soil[ENVO:00005750]	USA: California	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	11.984	11.798	0.0157653839633836	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.267138	-121.826286	4.29768
JEP7	Temporal	LT4	Top	Mound	T01	2020-11-05	38.267316 N 121.826595 W	4.78536 m	unclassified sequences; metagenomes; ecological metagenomes; soil metagenome	grassland biome [ENVO:01000177]	soil environment [ENVO:01001044]	grassland soil[ENVO:00005750]	USA: California	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	12.108	12.04	0.00564784053156158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.267316	-121.826595	4.78536
JEP8	Temporal	LT4	Bottom	Swale	T01	2020-11-05	38.267316 N 121.826595 W	4.78536 m	unclassified sequences; metagenomes; ecological metagenomes; soil metagenome	grassland biome [ENVO:01000177]	soil environment [ENVO:01001044]	grassland soil[ENVO:00005750]	USA: California	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	12.104	11.978	0.0105192853564868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.267316	-121.826595	4.78536
JEP9	Temporal	LT1	Top	Mound	T02	2020-11-12	38.26779 N 121.825907 W	6.88848 m	unclassified sequences; metagenomes; ecological metagenomes; soil metagenome	grassland biome [ENVO:01000177]	soil environment [ENVO:01001044]	grassland soil[ENVO:00005750]	USA: California	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	12.09	11.962	0.0107005517471995	A	5.3	6.4	0.15	NONE	2	3.7	1.8	3	9.3	161	11.3	2.12	126.7	44.5	1.51	625	146	63	11.2	55	4	28	11	2	38.26779	-121.825907	6.88848
JEP10	Temporal	LT1	Bottom	Swale	T02	2020-11-12	38.26779 N 121.825907 W	6.88848 m	unclassified sequences; metagenomes; ecological metagenomes; soil metagenome	grassland biome [ENVO:01000177]	soil environment [ENVO:01001044]	grassland soil[ENVO:00005750]	USA: California	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	12.056	11.908	0.012428619415519	A	4.9	6.3	0.2	NONE	2	4.4	0.6	1	20.7	163	18.5	2.31	197.7	45.5	1.8	326	170	107	11.3	65	4	14	13	4	38.26779	-121.825907	6.88848
