time	latitude	longitude	altitude (ft)	Mound
2022-02-03 21:44:55	38.268436	-121.824571	25.9	S1
2022-02-03 21:47:42	38.26759	-121.824601	24.9	S2
2022-02-03 21:50:41	38.266736	-121.824697	28.2	S3
2022-02-03 21:53:24	38.26569	-121.824705	16.1	S4
2022-02-03 21:58:04	38.265157	-121.826209	12.8	S5
2022-02-03 22:00:33	38.265998	-121.826189	10.2	S6
2022-02-03 22:02:39	38.266883	-121.826238	15.7	S7
2022-02-03 22:05:13	38.267929	-121.826063	8.5	S8
2022-02-03 22:09:07	38.267449	-121.827647	12.5	S9
2022-02-03 22:11:51	38.266541	-121.827992	14.4	S10
2022-02-03 22:14:33	38.265533	-121.827998	8.9	S11
2022-02-03 22:18:08	38.264446	-121.828245	12.5	S12
2022-02-03 22:22:38	38.264643	-121.829852	11.8	S13
2022-02-03 22:25:24	38.265472	-121.82978	13.5	S14
2022-02-03 22:28:03	38.26624	-121.829313	7.2	S15
2022-02-03 22:30:58	38.267237	-121.82904	5.6	S16
2022-02-03 22:33:55	38.2674	-121.830284	8.5	S17
2022-02-03 22:36:16	38.266563	-121.83054	10.5	S18
2022-02-03 22:39:01	38.265569	-121.830947	5.9	S19
2022-02-03 22:41:33	38.264652	-121.831347	6.9	S20
2022-02-03 22:44:33	38.264732	-121.833086	6.2	S21
2022-02-03 22:47:02	38.265658	-121.83255	9.2	S22
2022-02-03 22:49:14	38.266388	-121.831922	7.2	S23
2022-02-03 22:51:55	38.267287	-121.831291	6.9	S24
2020-11-12 16:44:02	38.26779	-121.825907	22.6	T1
2020-11-12 17:01:18	38.267738	-121.826347	21	T2
2020-11-12 17:32:16	38.267138	-121.826286	14.1	T3
2020-11-12 17:17:24	38.267316	-121.826595	15.7	T4
