SampleID	CollectionDate	Mount	InitialWeight	FinalWeight	PercentMoisture
JTS01	02-06-2022	1	12.27	10.212	0.2015276146
JTS02	02-06-2022	2	15.854	12.734	0.2450133501
JTS03	02-06-2022	3	12.6	10.104	0.2470308789
JTS04	02-06-2022	4	12.73	11.014	0.1558017069
JTS05	02-06-2022	5	12.72	11.064	0.1496746204
JTS06	02-06-2022	6	12.118	10.592	0.144070997
JTS07	02-06-2022	7	12.904	10.578	0.2198903384
JTS08	02-06-2022	8	12.504	10.052	0.2439315559
JTS09	02-06-2022	9	12.42	10.276	0.2086414947
JTS10	02-06-2022	10	12.284	10.502	0.1696819653
JTS11	02-06-2022	11	12.252	10.386	0.1796649336
JTS12	02-06-2022	12	12.63	10.528	0.1996580547
JTS13	02-06-2022	13	12.876	11.12	0.1579136691
JTS14	02-06-2022	14	12.76	10.768	0.1849925706
JTS15	02-06-2022	15	12.532	10.658	0.1758303622
JTS16	02-06-2022	16	12.686	11.546	0.09873549281
JTS17	02-06-2022	17	12.896	11.7	0.1022222222
JTS18	02-06-2022	18	12.632	11.302	0.117678287
JTS19	02-06-2022	19	12.91	10.704	0.2060911809
JTS20	02-06-2022	20	12.776	10.372	0.2317778635
JTS21	02-06-2022	21	12.292	10.606	0.1589666227
JTS22	02-06-2022	22	12.404	10.852	0.1430151124
JTS23	02-06-2022	23	13.006	11.268	0.1542421015
JTS24	02-06-2022	24	12.542	11.066	0.133381529
