SampleID	CollectionDate	Mount	Position	InitialWeight	FinalWeight	PercentMoisture
JEP001	11-05-2020	1	Top	12.12	12.05	0.005809128631
JEP002	11-05-2020	1	Bottom	12.054	11.948	0.008871777703
JEP003	11-05-2020	2	Top	12.07	12.03	0.003325020781
JEP004	11-05-2020	2	Bottom	12.042	11.956	0.007193041151
JEP005	11-05-2020	3	Top	12.068	11.878	0.01599595892
JEP006	11-05-2020	3	Bottom	11.984	11.798	0.01576538396
JEP007	11-05-2020	4	Top	12.108	12.04	0.005647840532
JEP008	11-05-2020	4	Bottom	12.104	11.978	0.01051928536
JEP009	11-12-2020	1	Top	12.09	11.962	0.01070055175
JEP010	11-12-2020	1	Bottom	12.056	11.908	0.01242861942
JEP011	11-12-2020	2	Top	12	11.904	0.008064516129
JEP012	11-12-2020	2	Bottom	12.062	11.932	0.01089507208
JEP013	11-12-2020	3	Top	12.006	11.826	0.01522070015
JEP014	11-12-2020	3	Bottom	12.09	11.884	0.0173342309
JEP015	11-12-2020	4	Top	12.01	11.87	0.01179443976
JEP016	11-12-2020	4	Bottom	12.042	11.868	0.01466127401
JEP017	11-20-2020	1	Top	12.15	10.96	0.1085766423
JEP018	11-20-2020	1	Bottom	12.124	11.072	0.09501445087
JEP019	11-20-2020	2	Top	12.05	11.008	0.09465843023
JEP020	11-20-2020	2	Bottom	12.116	11.106	0.09094183324
JEP021	11-20-2020	3	Top	12.076	10.668	0.1319835021
JEP022	11-20-2020	3	Bottom	12.018	10.7	0.1231775701
JEP023	11-20-2020	4	Top	12.036	10.84	0.1103321033
JEP024	11-20-2020	4	Bottom	12.166	10.968	0.1092268417
JEP025	11-26-2020	1	Top	12.074	11.23	0.07515583259
JEP026	11-26-2020	1	Bottom	12.116	11.246	0.07736083941
JEP027	11-26-2020	2	Top	12.11	11.382	0.06396063961
JEP028	11-26-2020	2	Bottom	12.166	11.48	0.05975609756
JEP029	11-26-2020	3	Top	11.992	11.314	0.0599257557
JEP030	11-26-2020	3	Bottom	12.104	11.098	0.09064696342
JEP031	11-26-2020	4	Top	12.028	11.274	0.06687954586
