SampleID2	SampleID	Ward_Batch	pH_Soil	pH_Buffer	Soluble_Salts	Lime	Texture	OM	Nitrate	lbs	Phosphorus	Potassium	Sulfate	Zinc	Iron	Manganese	Copper	Calcium	Magnesium	Sodium	CEC	H_Sat	K_Sat	Ca_Sat	Mg_Sat	Na_Sat	Set
JEP9	JEP009	A	5.3	6.4	0.15	NONE	2	3.7	1.8	3	9.3	161	11.3	2.12	126.7	44.5	1.51	625	146	63	11.2	55	4	28	11	2	Temporal
JEP10	JEP010	A	4.9	6.3	0.2	NONE	2	4.4	0.6	1	20.7	163	18.5	2.31	197.7	45.5	1.8	326	170	107	11.3	65	4	14	13	4	Temporal
JEP11	JEP011	A	5.1	6.3	0.14	NONE	2	3.4	1.2	2	13.8	146	16.2	1.71	144.6	36.2	1.41	388	184	106	11.7	63	3	17	13	4	Temporal
JEP12	JEP012	A	5.3	6.4	0.18	NONE	2	3	0.7	1	12.1	141	15.9	1.05	144.3	40.2	1.63	284	192	161	9.9	59	4	14	16	7	Temporal
JEP13	JEP013	A	5.3	6.3	0.14	NONE	2	5.2	1.2	2	18.4	259	15.4	3.92	168.8	52.3	1.9	812	260	47	14.2	50	5	29	15	1	Temporal
JEP14	JEP014	A	5.1	6.1	0.21	NONE	2	4.7	1.4	2	23.3	185	21.2	2.98	245.6	60.7	2.46	407	290	188	14.6	61	3	13	17	6	Temporal
JEP15	JEP015	A	5.1	6.3	0.17	NONE	2	3.1	1	2	15.3	142	12.6	1.91	154.6	43.9	2.21	568	219	93	11.9	54	3	24	15	3	Temporal
JEP16	JEP016	A	5.1	6.2	0.15	NONE	2	5	1	2	16.9	147	14	2	232.3	42.9	1.85	320	262	143	13	63	3	12	17	5	Temporal
JEP17	JEP017	A	5.2	6.3	0.16	NONE	2	3.5	7.9	14	15.7	132	10.1	1.98	142.5	19	1.53	513	142	55	11.4	62	3	22	10	2	Temporal
JEP18	JEP018	A	4.9	6.2	0.13	NONE	2	4.5	10.9	20	18.7	148	14.4	2.26	211.4	29.3	1.45	292	154	86	11.6	70	3	13	11	3	Temporal
JEP19	JEP019	A	5.2	6.3	0.1	NONE	2	3.4	2.6	5	15.8	139	10.7	1.48	195.4	23.6	1.39	351	165	70	10.8	65	3	16	13	3	Temporal
JEP20	JEP020	A	5.3	6.5	0.19	NONE	2	3.7	6.9	12	12.1	142	14.5	1.29	129.2	21.5	1.24	293	206	144	9.5	56	4	15	18	7	Temporal
JEP21	JEP021	A	5.4	6.3	0.21	NONE	2	5.4	6.2	11	13.2	174	10.6	2.66	131.9	16.4	1.21	637	204	55	12.4	55	4	25	14	2	Temporal
JEP22	JEP022	A	5.1	6.2	0.18	NONE	2	4.2	10.3	18	19.2	162	12.9	2.25	206.1	37.6	2.07	390	265	149	12.8	59	3	15	17	5	Temporal
JEP23	JEP023	A	5.3	6.5	0.13	NONE	2	3.4	3	5	10.9	147	11.1	1.66	134.8	18.3	1.38	498	178	68	9.8	53	4	25	15	3	Temporal
JEP24	JEP024	A	5.3	6.4	0.1	NONE	2	3.1	4.2	8	11.2	144	9.7	1.22	166.2	15.7	1.57	294	285	126	10.6	55	3	14	22	5	Temporal
JEP25	JEP025	A	5.2	6.4	0.12	NONE	2	3.3	5.6	10	9.5	118	11.5	1.78	108.7	17.2	1.45	501	131	60	10.1	59	3	24	11	3	Temporal
JEP26	JEP026	A	4.9	6.2	0.22	NONE	2	3.6	5.5	10	20.7	147	16.9	1.83	208.8	31.7	1.71	283	163	128	11.3	67	3	13	12	5	Temporal
JEP27	JEP027	A	5	6.3	0.15	NONE	2	3.3	5.1	9	15.3	96	14.9	1.29	159.9	31	1.37	326	169	81	10.5	65	2	15	13	3	Temporal
